disease, disease_url, summary
Cervical Cancer Screening,https://medlineplus.gov/cervicalcancerscreening.html,The cervix is the lower part of the uterus; the place where a baby grows during pregnancy.  Cancer screening is looking for cancer before you have any symptoms. Cancer found early may be easier to treat.Cervical cancer screening is usually part of a woman's health checkup.  There are two types of tests: the Pap test and the HPV test.   For both; the doctor or nurse collects cells from the surface of the cervix.  With the Pap test; the lab checks the sample for cancer cells or abnormal cells that could become cancer later.  With the HPV test; the lab checks for HPV infection.  HPV is a virus that spreads through sexual contact.  It can sometimes lead to cancer.  If your screening tests are abnormal; your doctor may do more tests; such as a biopsy.Cervical cancer screening has risks.  The results can sometimes be wrong; and you may have unnecessary follow-up tests.  There are also benefits.  Screening has been shown to decrease the number of deaths from cervical cancer. You and your doctor should discuss your risk for cervical cancer; the pros and cons of the screening tests; at what age to start being screened; and how often to be screened.
Cervix Disorders,https://medlineplus.gov/cervixdisorders.html,The cervix is the lower part of the uterus; the place where a baby grows during pregnancy. The cervix has a small opening that expands during childbirth. It also allows menstrual blood to leave a woman's body.Your health care provider may perform a Pap test during your health checkup to look for changes to the cells of the cervix; including cervical cancer. Other problems with the cervix include:Cervicitis - inflammation of the cervix. This is usually from an infection.Cervical incompetence - This can happen during pregnancy.  The opening of the cervix widens long before the baby is due.Cervical polyps and cysts - abnormal growths on the cervix
Ectopic Pregnancy,https://medlineplus.gov/ectopicpregnancy.html,The uterus; or womb; is the place where a baby grows when a woman is pregnant. If you have an ectopic pregnancy; the fertilized egg grows in the wrong place; outside the uterus; usually in the fallopian tubes. The result is usually a miscarriage.Ectopic pregnancy can be a medical emergency if it ruptures. Signs of ectopic pregnancy includeAbdominal painShoulder painVaginal bleedingFeeling dizzy or faintGet medical care right away if you have these signs. Doctors use drugs or surgery to remove the ectopic tissue so it doesn't damage your organs. Many women who have had ectopic pregnancies go on to have healthy pregnancies later.Dept. of Health and Human Services Office on Women's Health
Neck Injuries and Disorders,https://medlineplus.gov/neckinjuriesanddisorders.html,Any part of your neck - muscles; bones; joints; tendons; ligaments; or nerves - can cause neck problems. Neck pain is very common. Pain may also come from your shoulder; jaw; head; or upper arms. Muscle strain or tension often causes neck pain. The problem is usually overuse; such as from sitting at a computer for too long.  Sometimes you can strain your neck muscles from sleeping in an awkward position or overdoing it during exercise. Falls or accidents; including car accidents; are another common cause of neck pain.  Whiplash; a soft tissue injury to the neck; is also called neck sprain or strain.Treatment depends on the cause; but may include applying ice; taking pain relievers; getting physical therapy or wearing a cervical collar. You rarely need surgery.
Cervix Disorders,https://medlineplus.gov/cervixdisorders.html,The cervix is the lower part of the uterus; the place where a baby grows during pregnancy. The cervix has a small opening that expands during childbirth. It also allows menstrual blood to leave a woman's body.Your health care provider may perform a Pap test during your health checkup to look for changes to the cells of the cervix; including cervical cancer. Other problems with the cervix include:Cervicitis - inflammation of the cervix. This is usually from an infection.Cervical incompetence - This can happen during pregnancy.  The opening of the cervix widens long before the baby is due.Cervical polyps and cysts - abnormal growths on the cervix
Cesarean Section,https://medlineplus.gov/cesareansection.html,A Cesarean section (C-section) is surgery to deliver a baby. The baby is taken out through the mother's abdomen. In the United States; almost one in three women has their babies this way. Some C-sections are planned; but many are done when unexpected problems happen during delivery. Reasons for a C-section may includeHealth problems in the motherThe mother carrying more than one babyThe size or position of the babyThe baby's health is in dangerLabor is not moving along as it shouldThe surgery is relatively safe for mother and baby. Still; it is major surgery and carries risks. It also takes longer to recover from a C-section than from vaginal birth. It can raise the risk of having difficulties with future pregnancies. Some women may have problems attempting a vaginal birth later. Still; many women are able to have a vaginal birth after cesarean (VBAC).NIH: National Institute of Child Health and Human Development
Chronic Fatigue Syndrome,https://medlineplus.gov/chronicfatiguesyndrome.html,Chronic fatigue syndrome (CFS) is a disorder that causes extreme fatigue. This fatigue is not the kind of tired feeling that goes away after you rest. Instead; it lasts a long time and limits your ability to do ordinary daily activities.The main symptom of CFS is severe fatigue that lasts for 6 months or more. You also have at least four of these other symptoms:Feeling unwell for more than 24 hours after physical activityMuscle painMemory problemsHeadachesPain in multiple jointsSleep problemsSore throatTender lymph nodesCFS is hard to diagnose. There are no tests for it; and other illnesses can cause similar symptoms. Your doctor has to rule out other diseases before making a diagnosis of CFS.No one knows what causes CFS. It is most common in women in their 40s and 50s; but anyone can have it. It can last for years. There is no cure for CFS; so the goal of treatment is to improve symptoms. CFS affects people in different ways. You should work with your doctors to create a treatment program that best meets your own needs. It may include therapies to manage your symptoms; such as medicines to treat pain; sleep disorders; and other problems. It may also include coping techniques; and ways of managing your daily activities. Centers for Disease Control and Prevention
Chagas Disease,https://medlineplus.gov/chagasdisease.html,Chagas disease is caused by a parasite. It is common in Latin America but not in the United States. Infected blood-sucking bugs; sometimes called kissing bugs; spread it.  When the bug bites you; usually on your face; it leaves behind infected waste. You can get the infection if you rub it in your eyes or nose; the bite wound or a cut. The disease can also spread through contaminated food; a blood transfusion; a donated organ or from mother to baby during pregnancy.If you notice symptoms; they might includeFeverFlu-like symptomsA rashA swollen eyelidThese early symptoms usually go away. However; if you don't treat the infection; it stays in your body. Later; it can cause serious intestinal and heart problems.A physical exam and blood tests can diagnose it.  You may also need tests to see whether the disease has affected your intestines and heart.Medicines can kill the parasite; especially early on. You can also treat related problems. For example; a pacemaker helps with certain heart complications.There are no vaccines or medicines to prevent Chagas disease. If you travel to areas where it occurs; you are at higher risk if you sleep outdoors or in poor housing conditions. It is important to use insecticides to prevent bites; and practice food safety.Centers for Disease Control and Prevention
Eyelid Disorders,https://medlineplus.gov/eyeliddisorders.html,Your eyelids help protect your eyes. When you blink; your eyelids spread moisture over your eyes. Blinking also helps move dirt or other particles off the surface of the eye.  You close your eyelids when you see something coming toward your eyes.  This can help protect against injuries.Like most other parts of your body; your eyelids can get infected; inflamed; or even develop cancer. There are also specific eyelid problems; includingEyelids that turn in or outEyelids that droopAbnormal blinking or twitchingTreatment of eyelid problems depends on the cause.
Menopause,https://medlineplus.gov/menopause.html,Menopause is the time in a woman's life when her period stops.  It usually occurs naturally; most often after age 45. Menopause happens because the woman's ovaries stop producing the hormones estrogen and progesterone. A woman has reached menopause when she has not had a period for one year.  Changes and symptoms can start several years earlier. They includeA change in periods - shorter or longer; lighter or heavier; with more or less time in between Hot flashes and/or night sweats Trouble sleeping Vaginal dryness Mood swingsTrouble focusingLess hair on head; more on face Some symptoms require treatment.  Talk to your doctor about how to best manage menopause.  Make sure the doctor knows your medical history and your family medical history. This includes whether you are at risk for heart disease; osteoporosis; or breast cancer.Dept. of Health and Human Services Office on Women's Health
Charcot-Marie-Tooth Disease,https://medlineplus.gov/charcotmarietoothdisease.html,Charcot-Marie-Tooth disease (CMT) is a group of genetic nerve disorders. It is named after the three doctors who first identified it. In the United States; CMT affects about 1 in 2;500 people. CMT affects your peripheral nerves. Peripheral nerves carry movement and sensation signals between the brain and spinal cord and the rest of the body. Symptoms usually start around the teen years. Foot problems such as high arches or hammertoes can be early symptoms. As CMT progresses; your lower legs may weaken. Later; your hands may also become weak. Doctors diagnose CMT by doing a neurologic exam; nerve tests; genetic tests; or a nerve biopsy. There is no cure. The disease can be so mild you don't realize you have it or severe enough to make you weak. Physical therapy; occupational therapy; braces and other devices and sometimes surgery can help.NIH: National Institute of Neurological Disorders and Stroke
Muscle Cramps,https://medlineplus.gov/musclecramps.html,Muscle cramps are sudden; involuntary contractions or spasms in one or more of your muscles. They often occur after exercise or at night; lasting a few seconds to several minutes. It is a very common muscle problem.  Muscle cramps can be caused by nerves that malfunction. Sometimes this malfunction is due to a health problem; such as a spinal cord injury or a pinched nerve in the neck or back. Other causes are  Straining or overusing a muscle Dehydration A lack of minerals in your diet or the depletion of minerals in your body Not enough blood getting to your muscles  Cramps can be very painful. Stretching or gently massaging the muscle can relieve this pain.
Chemical Emergencies,https://medlineplus.gov/chemicalemergencies.html,When a hazardous chemical has been released; it may harm people's health. Chemical releases can be unintentional; as in the case of an industrial accident. They could also be planned; as in the case of a terrorist attack with a chemical weapon.Some hazardous chemicals have been developed by military organizations for use in warfare. Examples are nerve agents such as sarin and VX. Many hazardous chemicals are used in industry - for example; chlorine; ammonia; and benzene. Some can be made from everyday items such as household cleaners.Although there are no guarantees of safety during a chemical emergency; you can take actions to protect yourself.  You should have a disaster plan. Being prepared can help reduce fear; anxiety; and losses. If you do experience a disaster; it is normal to feel stressed. You may need help in finding ways to cope.Centers for Disease Control and Prevention
Chemical Emergencies,https://medlineplus.gov/chemicalemergencies.html,When a hazardous chemical has been released; it may harm people's health. Chemical releases can be unintentional; as in the case of an industrial accident. They could also be planned; as in the case of a terrorist attack with a chemical weapon.Some hazardous chemicals have been developed by military organizations for use in warfare. Examples are nerve agents such as sarin and VX. Many hazardous chemicals are used in industry - for example; chlorine; ammonia; and benzene. Some can be made from everyday items such as household cleaners.Although there are no guarantees of safety during a chemical emergency; you can take actions to protect yourself.  You should have a disaster plan. Being prepared can help reduce fear; anxiety; and losses. If you do experience a disaster; it is normal to feel stressed. You may need help in finding ways to cope.Centers for Disease Control and Prevention
Chemical Emergencies,https://medlineplus.gov/chemicalemergencies.html,When a hazardous chemical has been released; it may harm people's health. Chemical releases can be unintentional; as in the case of an industrial accident. They could also be planned; as in the case of a terrorist attack with a chemical weapon.Some hazardous chemicals have been developed by military organizations for use in warfare. Examples are nerve agents such as sarin and VX. Many hazardous chemicals are used in industry - for example; chlorine; ammonia; and benzene. Some can be made from everyday items such as household cleaners.Although there are no guarantees of safety during a chemical emergency; you can take actions to protect yourself.  You should have a disaster plan. Being prepared can help reduce fear; anxiety; and losses. If you do experience a disaster; it is normal to feel stressed. You may need help in finding ways to cope.Centers for Disease Control and Prevention
Cancer Chemotherapy,https://medlineplus.gov/cancerchemotherapy.html,Normally; your cells grow and die in a controlled way. Cancer cells keep growing without control. Chemotherapy is drug therapy for cancer. It works by killing the cancer cells; stopping them from spreading; or slowing their growth.  However; it can also harm healthy cells; which causes side effects. You may have a lot of side effects; some; or none at all. It depends on the type and amount of chemotherapy you get and how your body reacts. Some common side effects are fatigue; nausea; vomiting; pain; and hair loss. There are ways to prevent or control some side effects. Talk with your health care provider about how to manage them.  Healthy cells usually recover after chemotherapy is over; so most side effects gradually go away.Your treatment plan will depend on the cancer type; the chemotherapy drugs used; the treatment goal; and how your body responds. Chemotherapy may be given alone or with other treatments. You may get treatment every day; every week; or every month. You may have breaks between treatments so that your body has a chance to build new healthy cells. You might take the drugs by mouth; in a shot; as a cream; or intravenously (by IV).NIH: National Cancer Institute
Chest Injuries and Disorders,https://medlineplus.gov/chestinjuriesanddisorders.html,The chest is the part of the body between your neck and your abdomen.  It includes the ribs and breastbone.  Inside your chest are several organs; including the heart; lungs; and esophagus. The pleura; a large thin sheet of tissue; lines the inside of the chest cavity.Chest injuries and disorders includeHeart diseasesLung diseases and collapsed lungPleural disordersEsophagus disordersBroken ribsThoracic aortic aneurysmsDisorders of the mediastinum; the space between the lungs; breastbone; and spine
Chest Pain,https://medlineplus.gov/chestpain.html,Having a pain in your chest can be scary.  It does not always mean that you are having a heart attack.  There can be many other causes; includingOther heart problems; such as anginaPanic attacksDigestive problems; such as heartburn or esophagus disordersSore musclesLung diseases; such as pneumonia; pleurisy; or pulmonary embolismCostochondritis - an inflammation of joints in your chestSome of these problems can be serious.  Get immediate medical care if you have chest pain that does not go away; crushing pain or pressure in the chest; or chest pain along with nausea; sweating; dizziness or shortness of breath. Treatment depends on the cause of the pain.
Pulmonary Rehabilitation,https://medlineplus.gov/pulmonaryrehabilitation.html,Pulmonary rehabilitation (rehab) is a medically supervised program to help people who have chronic breathing problems; including  COPD (chronic obstructive pulmonary disease) Sarcoidosis Idiopathic pulmonary fibrosis Cystic fibrosis  During pulmonary rehab you may do exercise training and learn breathing techniques. You'll also get tips on conserving your energy and advice on nutrition and coping. These can't cure your lung disease or completely ease your breathing problems. But it can help you function better in your daily life. NIH: National Heart; Lung; and Blood Institute
Smokeless Tobacco,https://medlineplus.gov/smokelesstobacco.html,Many people who chew tobacco or dip snuff think it's safer than smoking. But you don't have to smoke tobacco for it to be dangerous. Chewing or dipping carries risks like  Cancer of the mouth Decay of exposed tooth roots Pulling away of the gums from the teeth White patches or red sores in the mouth that can turn to cancer  Recent research shows the dangers of smokeless tobacco may go beyond the mouth. It might also play a role in other cancers; heart disease and stroke.  Smokeless tobacco contains more nicotine than cigarettes. Nicotine is a highly addictive drug that makes it hard to stop using tobacco once you start. Having a quit date and a quitting plan can help you stop successfully.  NIH: National Institute of Dental and Craniofacial Research
Heart Failure,https://medlineplus.gov/heartfailure.html,Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. Heart failure does not mean that your heart has stopped or is about to stop working. It means that your heart is not able to pump blood the way it should. It can affect one or both sides of the heart.The weakening of the heart's pumping ability causesBlood and fluid to back up into the lungsThe buildup of fluid in the feet; ankles and legs - called edemaTiredness and shortness of breathCommon causes of heart failure are coronary artery disease; high blood pressure and diabetes. It is more common in people who are 65 years old or older; African Americans; people who are overweight; and people who have had a heart attack. Men have a higher rate of heart failure than women.Your doctor will diagnose heart failure by doing a physical exam and heart tests. Treatment includes treating the underlying cause of your heart failure; medicines; and heart transplantation if other treatments fail.NIH: National Heart; Lung; and Blood Institute
Chiari Malformation,https://medlineplus.gov/chiarimalformation.html,Chiari malformations (CMs) are structural defects in the cerebellum. The cerebellum is the part of the brain that controls balance.  With CM; brain tissue extends into the spinal canal.  It can happen when part of the skull is too small; which pushes the brain tissue down. There are several types of CM. One type often happens in children who have neural tube defects. Some types cause no symptoms and don't need treatment. If you have symptoms; they may includeNeck painBalance problemsNumbness or other abnormal feelings in the arms or legsDizzinessVision problemsDifficulty swallowingPoor hand coordinationDoctors diagnose CM using imaging tests. Medicines may ease some symptoms; such as pain. Surgery is the only treatment available to correct or stop the progression of nerve damage.NIH: National Institute of Neurological Disorders and Stroke
Chickenpox,https://medlineplus.gov/chickenpox.html,Chickenpox is an infection caused by the varicella-zoster virus. Most cases are in children under age 15; but older children and adults can get it.  It spreads very easily from one person to another.The classic symptom of chickenpox is an uncomfortable; itchy rash. The rash turns into fluid-filled blisters and eventually into scabs. It usually shows up on the face; chest; and back and then spreads to the rest of the body. Other symptoms includeFeverHeadacheTirednessLoss of appetiteChickenpox is usually mild and lasts 5 to 10 days. Calamine lotions and oatmeal baths can help with itching. Acetaminophen can treat the fever. Do not use aspirin for chickenpox; that combination can cause Reye syndrome.Chickenpox can sometimes cause serious problems. Adults; babies; teenagers; pregnant women; and those with weak immune systems tend to get sicker from it. They may need to take antiviral medicines.Once you catch chickenpox; the virus usually stays in your body.  You probably will not get chickenpox again; but the virus can cause shingles in adults. A chickenpox vaccine can help prevent most cases of chickenpox; or make it less severe if you do get it.Centers for Disease Control and Prevention
Chikungunya,https://medlineplus.gov/chikungunya.html,Chikungunya is a virus that spread by the same kinds of mosquitoes that spread dengue and Zika virus. Rarely; it can spread from mother to newborn around the time of birth. It may also possibly spread through infected blood. There have been outbreaks of chikungunya virus in Africa; Asia; Europe; the Indian and Pacific Oceans; the Caribbean; and Central and South America.Most people who are infected will have symptoms; which can be severe. They usually start 3-7 days after being bitten by an infected mosquito. The most common symptoms are fever and joint pain. Other symptoms may include headache; muscle pain; joint swelling; and rash.Most people feel better within a week. In some cases; however; the joint pain may last for months. People at risk for more severe disease include newborns; older adults; and people with diseases such as high blood pressure; diabetes; or heart disease.A blood test can show whether you have chikungunya virus. There are no vaccines or medicines to treat it. Drinking lots of fluids; resting; and taking non-aspirin pain relievers might help.The best way to prevent chikungunya infection is to avoid mosquito bites:Use insect repellentWear clothes that cover your arms; legs; and feetStay in places that have air conditioning or that use window and door screensCenters for Disease Control and Prevention
Frostbite,https://medlineplus.gov/frostbite.html,Frostbite is an injury to the body that is caused by freezing. It most often affects the nose; ears; cheeks; chin; fingers; or toes. Frostbite can permanently damage the body; and severe cases can lead to amputation.If you have frostbite; the skin in that area may turn white or grayish-yellow. It may feel firm or waxy when you touch it. The area will also feel numb.If you have symptoms of frostbite; seek medical care. But if immediate medical care isn't available; here are steps to take:Get into a warm room as soon as possible.If possible; do not walk on frostbitten feet or toes. Walking increases the damage.Put the affected area in warm - not hot - water.You can also warm the affected area using body heat. For example; use your armpit to warm frostbitten fingers. Don't rub the frostbitten area with snow or massage it at all. This can cause more damage. Don't use a heating pad; heat lamp; or the heat of a stove; fireplace; or radiator for warming. Since frostbite makes an area numb; you could burn it.Centers for Disease Control and Prevention
Child Abuse,https://medlineplus.gov/childabuse.html,Child abuse is doing something or failing to do something that results in harm to a child or puts a child at risk of harm. Child abuse can be physical; sexual or emotional. Neglect; or not providing for a child's needs; is also a form of abuse. Most abused children suffer greater emotional than physical damage. An abused child may become depressed. He or she may withdraw; think of suicide or become violent. An older child may use drugs or alcohol; try to run away or abuse others. Child abuse is a serious problem. If you suspect a child is being abused or neglected; call the police or your local child welfare agency.
Child Behavior Disorders,https://medlineplus.gov/childbehaviordisorders.html, All kids misbehave some times. And some may have temporary behavior problems due to stress. For example; the birth of a sibling; a divorce; or a death in the family may cause a child to act out. Behavior disorders are more serious. They involve a pattern of hostile; aggressive; or disruptive behaviors for more than 6 months.  The behavior is also not appropriate for the child's age.Warning signs can includeHarming or threatening themselves; other people or petsDamaging or destroying property Lying or stealing Not doing well in school; skipping school Early smoking; drinking or drug use Early sexual activity Frequent tantrums and arguments Consistent hostility toward authority figures  If you see signs of a problem; ask for help. Poor choices can become habits. Kids who have behavior problems are at higher risk for school failure; mental health problems; and even suicide. Classes or family therapy may help parents learn to set and enforce limits. Talk therapy and behavior therapy for your child can also help.
Child Care,https://medlineplus.gov/childcare.html,Children's healthy development depends on safe and positive experiences when they are very young. If you work or go to school; you want to know that your child is in good hands while you are away.  You may choose in-home care; where the caregiver comes to your home.  Or your child might go to the caregiver's home.  Finally; there are child care centers. You need to choose the one that works for your family.  It is important to get to know your child's caregivers. They will be a big part of your child's life. The caregiver's training should involve  Knowledge of how young children learn and grow Positive; consistent discipline Knowledge of the signs that a child is sick Cleanliness and safety practices to help keep kids from getting sick or hurt Basic first aid
Child Dental Health,https://medlineplus.gov/childdentalhealth.html,Healthy teeth are important to your child's overall health. From the time your child is born; there are things you can do to promote healthy teeth and prevent cavities. For babies; you should clean teeth with a soft; clean cloth or baby's toothbrush.  Avoid putting the baby to bed with a bottle and check teeth regularly for spots or stains.For all children; you shouldStart using a pea-sized amount of fluoride toothpaste when they are two years old. You might start sooner; if a dentist or doctor suggests it.Provide healthy foods and limit sweet snacks and drinksSchedule regular dental check-ups Forming good habits at a young age can help your child have healthy teeth for life. NIH: National Institute of Dental and Craniofacial Research
Child Development,https://medlineplus.gov/childdevelopment.html,As children grow older; they develop in several different ways. Child development includes physical; intellectual; social; and emotional changes.Children grow and mature at very different rates. It's hard to say what "normal" is.  There can be big differences in height; weight; and build among healthy children. Diet; exercise and genes are all factors. Some children begin puberty or are close to it before they are teenagers.Children start to become more independent from their parents.  They may rebel.  They also look outward - to their friends; who are usually of the same sex. Peer approval becomes very important. Your child may try new behaviors to be part of "the group." This can also be the time that parents or teachers recognize learning disabilities or behavioral problems in children. These problems can get worse as time goes on; so it is important to get help early.
Child Mental Health,https://medlineplus.gov/childmentalhealth.html,It's important to recognize and treat mental illnesses in children early on.  Once mental illness develops; it becomes a regular part of your child's behavior. This makes it more difficult to treat.But it's not always easy to know when your child has a serious problem. Everyday stresses can cause changes in your child's behavior. For example; getting a new brother or sister or going to a new school may cause a child to temporarily act out. Warning signs that it might be a more serious problem includeProblems in more than one setting (at school; at home; with peers)Changes in appetite or sleepSocial withdrawal or fear of things he or she did not used to be not afraid ofReturning to behaviors more common in younger children; such as bedwettingSigns of being upset; such as sadness or tearfulnessSigns of self-destructive behavior; such as head-banging or suddenly getting hurt oftenRepeated thoughts of deathTo diagnose mental health problems; the doctor or mental health specialist looks at your child's signs and symptoms; medical history; and family history. Treatments include medicines and talk therapy.NIH: National Institute of Mental Health
Child Sexual Abuse,https://medlineplus.gov/childsexualabuse.html,Sexual abuse is one form of child abuse. It includes a wide range of actions between a child and an adult or older child. Often these involve body contact; but not always. Exposing one's genitals to children or pressuring them for sex is sexual abuse. Using a child for pornography is also sexual abuse. Most sexual abusers know the child they abuse. They may be family friends; neighbors or babysitters. About one-third of abusers are related to the child. Most abusers are men. If you think a child may have been abused; it's important to report it.
Child Nutrition,https://medlineplus.gov/childnutrition.html,A healthy diet helps children grow and learn. It also helps prevent obesity and weight-related diseases; such as diabetes. To give your child a nutritious dietMake half of what is on your child's plate fruits and vegetablesChoose healthy sources of protein; such as lean meat; nuts; and eggsServe whole-grain breads and cereals because they are high in fiber. Reduce refined grains.Broil; grill; or steam foods instead of frying themLimit fast food and junk foodOffer water or milk instead of sugary fruit drinks and sodasLearn about your children's nutrient requirements. Some of them; such as the requirements for iron and calcium; change as your child ages. NIH: National Institute of Diabetes and Digestive and Kidney Diseases
Child Safety,https://medlineplus.gov/childsafety.html,As parents; we want to keep our children safe from harm. Take steps to keep your children safe:Install the right child safety seat in your carTeach children how to cross the street safelyMake sure they wear the right gear and equipment for sportsInstall and test smoke alarms Store medicines; cleaners and other dangerous substances in locked cabinetsBabyproof your homeDon't leave small children unattended
Child Sexual Abuse,https://medlineplus.gov/childsexualabuse.html,Sexual abuse is one form of child abuse. It includes a wide range of actions between a child and an adult or older child. Often these involve body contact; but not always. Exposing one's genitals to children or pressuring them for sex is sexual abuse. Using a child for pornography is also sexual abuse. Most sexual abusers know the child they abuse. They may be family friends; neighbors or babysitters. About one-third of abusers are related to the child. Most abusers are men. If you think a child may have been abused; it's important to report it.
Childbirth,https://medlineplus.gov/childbirth.html,When you are ready to have your baby; you'll go through labor.  Labor is the process of giving birth. Signs that you might be going into labor includeContractions that are regular then start to come closer togetherLeaking fluid or bleeding from the vaginaLow; dull backacheAbdominal crampsCall your health care provider if you have any of these signs; even if it is before your due date. Preterm labor can start before 37 completed weeks of pregnancy.Labor happens in three stages. The first stage begins with contractions. It continues until your cervix has become thinner and dilated (stretched) to about 4 inches wide. The second stage is the active stage; in which you begin to push downward. Crowning is when your baby's scalp comes into view. Shortly afterward; your baby is born. In the third stage; you deliver the placenta. The placenta is the organ that supplied food and oxygen to your baby during pregnancy.Mothers and babies are monitored closely during labor. Most women are able to have a baby through normal vaginal delivery. If there are complications; the baby may need to be delivered surgically by a Cesarean section.NIH: National Institute of Child Health and Human Development
Childbirth Problems,https://medlineplus.gov/childbirthproblems.html,While childbirth usually goes well; complications can happen.  They can cause a risk to the mother; baby; or both.  Possible complications includePreterm (premature) labor; when labor starts before 37 completed weeks of pregnancyProblems with the umbilical cordProblems with the position of the baby; such as breech; in which the baby is going to come out feet firstBirth injuriesFor some of these problems; the baby may need to be delivered surgically by a Cesarean section.
Asthma in Children,https://medlineplus.gov/asthmainchildren.html,Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma; the inside walls of your airways become sore and swollen.In the United States; about 20 million people have asthma.  Nearly 9 million of them are children. Children have smaller airways than adults; which makes asthma especially serious for them. Children with asthma may experience wheezing; coughing; chest tightness; and trouble breathing; especially early in the morning or at night. Many things can cause asthma; including Allergens - mold; pollen; animalsIrritants - cigarette smoke; air pollutionWeather - cold air; changes in weatherExercise Infections - flu; common coldWhen asthma symptoms become worse than usual; it is called an asthma attack. Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms.
Childhood Brain Tumors,https://medlineplus.gov/childhoodbraintumors.html,Brain tumors are abnormal growths inside the skull. They are among the most common types of childhood cancers. Some are benign tumors; which aren't cancer. They can still be serious. Malignant tumors are cancerous.Childhood brain and spinal cord tumors can cause headaches and other symptoms. However; other conditions can also cause the same symptoms. Check with a doctor if your child has any of the following problems:Morning headache or headache that goes away after vomitingFrequent nausea and vomitingVision; hearing; and speech problemsLoss of balance or trouble walkingUnusual sleepinessPersonality changesSeizuresIncreased head size in infantsThe symptoms are not the same in every child.Doctors use physical and neurological exams; lab tests; and imaging to diagnose brain tumors. Most childhood brain tumors are diagnosed and removed in surgery.Treatment for children is sometimes different than for an adult. Long-term side effects are an important issue. The options also depend on the type of tumor and where it is. Removal of the tumor is often possible. If not; radiation; chemotherapy; or both may be used.NIH: National Cancer Institute
Cancer in Children,https://medlineplus.gov/cancerinchildren.html,Cancer is a group related diseases. In all types of cancer; some of the body's cells begin to divide without stopping and spread into surrounding tissues.Normally; new cells form as you need them; replacing old cells that die. Sometimes; this process goes wrong. New cells form when you don't need them; and old cells don't die when they should. The extra cells can form a tumor. Tumors can be benign or malignant. Benign tumorsaren't cancer while malignant ones are. Cells from malignant tumors can invade nearby tissues. They can also break away and spread to other parts of the body.Children can get cancer in the same parts of the body as adults; but there are differences. Childhood cancers can occur suddenly; without early symptoms; and have a high rate of cure. The most common children's cancer is leukemia. Other cancers that affect children include brain tumors; lymphoma; and soft tissue sarcoma.Symptoms and treatment depend on the cancer type and how advanced it is. Treatments include surgery; radiation therapy; chemotherapy; stem cell transplants; and/or targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. NIH: National Cancer Institute
Childhood Immunization,https://medlineplus.gov/childhoodimmunization.html,Today; children in the United States routinely get vaccines that protect them from more than a dozen diseases such as measles; polio; tetanus; diphtheria; and pertussis (whooping cough). Most of these diseases are now at their lowest levels in history; thanks to years of immunization. Children must get at least some vaccines before they may attend school.Vaccines help make you immune to serious diseases without getting sick first. Without a vaccine; you must actually get a disease in order to become immune to the germ that causes it. Vaccines work best when they are given at certain ages. For example; children don't receive measles vaccine until they are at least one year old. If it is given earlier it might not work as well.  The Centers for Disease Control and Prevention publishes a schedule for childhood vaccines.Although some of the vaccines you receive as a child provide protection for many years; adults need immunizations too.Centers for Disease Control and Prevention
Childhood Leukemia,https://medlineplus.gov/childhoodleukemia.html,Leukemia is cancer of the white blood cells. It is the most common type of childhood cancer. Your blood cells form in your bone marrow. White blood cells help your body fight infection. In leukemia; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work.Leukemia can develop quickly or slowly. Acute leukemia is a fast growing type while chronic leukemia grows slowly. Children with leukemia usually have one of the acute types. Symptoms includeInfectionsFeverLoss of appetiteTirednessEasy bruising or bleedingSwollen lymph nodesNight sweatsShortness of breathPain in the bones or jointsRisk factors for childhood leukemia include having a brother or sister with leukemia; having certain genetic disorders and having had radiation or chemotherapy. Treatment often cures childhood leukemia. Treatment options include chemotherapy; other drug therapy and radiation. In some cases bone marrow and blood stem cell transplantation might help. NIH: National Cancer Institute
Obesity in Children,https://medlineplus.gov/obesityinchildren.html,Obesity means having too much body fat. It is different from being overweight; which means weighing too much. Both terms mean that a person's weight is greater than what's considered healthy for his or her height.  Children grow at different rates; so it isn't always easy to know when a child has obesity or is overweight. Ask your health care provider to check whether your child's weight and height are in a healthy range.If a weight-loss program is necessary; involve the whole family in healthy habits so your child doesn't feel singled out.  Encourage healthy eating byServing more fruits and vegetablesBuying fewer soft drinks and high-fat; high-calorie snack foodsMaking sure your child eats breakfast every dayEating fast food less oftenNot using food as a rewardPhysical activity is also very important. Kids need about 60 minutes each day. It does not have to happen all at once. Several short periods of activity during the day are just as good.NIH: National Institute of Diabetes and Digestive and Kidney Diseases
